#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
517,MIKE BOONE,RB,FA,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,0.1,1.1,,0.8,3.3
519,JASE MCCLELLAN,RB,FA,-,-,-,-,-,-,1.7,-,-,-,1.5,-,-,-,-,-,0,,1.1,3.2
520,JERMAR JEFFERSON,RB,TEN,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,2.3,0.9,,1.6,3.2
521,TAYLOR HEINICKE,QB,LAC,-,-,1,-,BYE,-,-,-,-,-,-,-,-,1.2,0.2,-,0.8,,0.8,3.1
522,RASHEEN ALI,RB,BAL,-,-,-,-,-,-,-,-,-,-,-,-,0,BYE,3.2,0.2,-0.3,,0.8,3.1
522,ALEX BACHMAN,WR,LV,-,-,-,0,0,3.1,0,0,-,BYE,-,-,-,-,-,-,-,,0.6,3.1
524,JACOB COWING,WR,SF,0,0,0,0,-,0,5,0,BYE,-2,0,-,0,0,0,0,0,,0.2,3.0
524,CLYDE EDWARDS-HELAIRE,RB,NO,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,3,,3.0,3.0
524,DALVIN COOK,RB,FA,-,-,-,-,-,-,-,2.2,0.8,-,-,-,-,-,-,-,-,,1.5,3.0
524,ALLEN ROBINSON,WR,FA,-,-,0,-,-,0,-,0,0.2,0,0.7,0,0,0,0,0,2.1,,0.3,3.0
528,WILL MALLORY,TE,IND,-,-,-,0,0.7,0,0.5,0,0,1,-,-,0.7,BYE,0,0,-,,0.3,2.9
529,GREG DULCICH,TE,NYG,1.2,1.6,0,0,-,-,-,-,-,-,BYE,-,-,0,0,0,0,,0.4,2.8
529,RIVER CRACRAFT,WR,FA,-,-,-,-,-,-,-,-,-,0,0,0,0,-,0.6,0.6,1.6,,0.4,2.8
531,DAVID BELL,WR,CLE,-,2.7,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,,2.7,2.7
531,DEVEN THOMPKINS,WR,FA,-,-,-,-,-,-,-,-,-0.2,0,-,1.3,0,0.7,0,0.9,-,,0.4,2.7
533,HENDON HOOKER,QB,DET,-,-,-,-,BYE,0.7,-,0.2,-,-,1.8,-,-,-,-,-,-,,0.9,2.7
534,LUKE MUSGRAVE,TE,GB,0,0.6,0.3,1.3,-,-,-,-,-,BYE,-,-,-,-,-,0,0.4,,0.4,2.6
534,PEYTON HENDERSHOT,TE,FA,-,0,-,-,-,-,-,-,0.9,0.6,1.1,0,-,-,-,-,0,,0.4,2.6
536,DJ CHARK,WR,ATL,-,-,-,-,-,-,-,-,-,0,-,BYE,0,0.9,1.6,0,0,,0.4,2.5
537,BLAKE WATSON,RB,DEN,-,-,-,-,0,-,-,0,-,-,-,-,-,BYE,-,2.3,-,,0.8,2.3
537,ANTHONY GOULD,WR,IND,0,0,0,-,-,-,-,-,-,-,-,-,0,BYE,2.3,0,0,,0.3,2.3
539,RONNIE BELL,WR,DET,0,0,1.2,-,0,-,1,0,-,0,-,0,-,-,-,-,-,,0.3,2.2
539,MALACHI CORLEY,WR,NYJ,0,0.4,-,-,-,-,-,0,-0.2,0.2,1,BYE,0.8,-,-,-,-,,0.3,2.2
539,SHANE ZYLSTRA,TE,DET,-,-,-,-,BYE,-,0,0,0,0,2.2,0,0,0,0,0,0,,0.2,2.2
539,JAMARI THRASH,WR,CLE,-,-,-,-,-,-,0,-,0,BYE,1.1,0,1.1,-,0,0,0,,0.3,2.2
539,JONATHAN WARD,RB,FA,-,-,-,-,0.9,1.3,0,0,-,-,-,-,-,-,-,-,-,,0.6,2.2
544,AUSTIN TRAMMELL,WR,JAC,-,-,-,-,-,-,-,-,2,-,-,BYE,-,-,-,-,-,,2.0,2.0
545,CAM GRANDY,TE,CIN,-,-,-,-,-,-,-,-,-,0,0,BYE,0,0,1.2,0,0.7,,0.3,1.9
546,MARSHAWN LLOYD,RB,GB,-,1.8,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,,1.8,1.8
547,MASON KINSEY,WR,TEN,-,-,-,-,BYE,-,-,0,-,-,-,-,-,0,1.1,0.6,0,,0.3,1.7
548,CHRIS CONLEY,WR,FA,0,0.4,0,0,-,0,0,0,-,-,0,0,0,0,0,0,1.3,,0.1,1.7
548,CHRIS BLAIR,WR,ATL,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,1.7,0,,0.9,1.7
548,AARON SHAMPKLIN,RB,FA,-,-,-,0.5,1.4,-0.2,-,-,-,-,-,-,-,-,-,-,-,,0.6,1.7
551,ANTHONY MILLER,WR,BAL,-,-,-,-,-,-,-,-,-,-,-,-,-,BYE,-,0,1.6,,0.8,1.6
551,TANNER CONNER,TE,MIA,0,0,0.1,1.5,0,BYE,-,-,0,0,-,-,-,-,-,-,-,,0.2,1.6
553,TRENTON IRWIN,WR,JAC,0.6,0.5,-,-,-,0,-,0.4,0,0,0,BYE,-,-,-,-,-,,0.2,1.5
554,CASEY WASHINGTON,WR,ATL,-,-,-,-,-,-,1.4,-,-,-,0,BYE,-,-,-,-,-,,0.7,1.4
554,JOSIAH DEGUARA,TE,ARI,-,-,0.8,0,0.2,0,0,0,0,-,0,-,-,0,0,0.4,0,,0.1,1.4
556,TREY LANCE,QB,LAC,-,-,-,-,BYE,-,-,-,-,1.5,-,-0.3,-,-,-,-,0.1,,0.5,1.4
557,NICK MULLENS,QB,JAC,-,-,0,-,1,-,-,-,-,-,-,0.6,-,-0.2,-,-,-,,0.3,1.3
557,TERRELL JENNINGS,RB,NE,-,-,-,-,-,1.3,-,-,-,-,-,-,-,BYE,-,-,-,,1.3,1.3
559,ISAIAH HODGINS,WR,SF,-,-,-,-,0,0.5,-,-,BYE,0.7,-,-,-,-,-,-,-,,0.4,1.2
