#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
596,TYLER KROFT,TE,FA,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,-,-,,0.0,0.0
596,AARON RODGERS,QB,PIT,0,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,EASOP WINSTON,WR,FA,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,AMARI RODGERS,WR,FA,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,MATT SOKOL,TE,BUF,-,-,-,-,-,-,0,-,-,-,-,-,BYE,-,-,0,0,,0.0,0.0
596,CHRIS CONLEY,WR,FA,-,-,-,-,-,-,0,-,-,-,-,-,0,0,0,0,0,,0.0,0.0
596,MOHAMED IBRAHIM,RB,FA,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,MALIK DAVIS,RB,FA,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,,0.0,0.0
596,IRVIN CHARLES,WR,NYJ,-,-,-,-,0,0,BYE,-,0,0,0,0,-,0,0,0,0,,0.0,0.0
596,DYLAN DRUMMOND,WR,ATL,-,-,-,-,0,-,-,-,-,-,BYE,-,-,-,-,-,-,,0.0,0.0
596,MALIK CUNNINGHAM,QB,BAL,-,-,-,-,-,0,-,-,-,-,-,-,BYE,-,-,-,-,,0.0,0.0
596,CHRIS OLADOKUN,QB,KC,-,-,-,-,-,0,-,0,-,BYE,-,-,-,-,-,-,-,,0.0,0.0
596,DWAYNE WASHINGTON,RB,FA,-,-,-,-,-,-,0,0,-,0,-,-,0,-,-,-,-,,0.0,0.0
596,ERIC LAIR,RB,FA,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,,0.0,0.0
596,JP HOLTZ,TE,FA,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,TANNER CONNER,TE,MIA,-,-,-,-,-,0,0,-,-,BYE,-,-,0,-,-,-,-,,0.0,0.0
596,JAELON DARDEN,WR,FA,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
697,AJ MCCARRON,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,0.0,-0.0
707,JOHNNY JOHNSON,WR,HOU,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,,,0.0
698,KYLE TRASK,QB,TB,-,-,-,-,BYE,-,-,-,-,-0.1,-,0,-,-,-,-,-,,-0.1,-0.1
699,JONATHAN WILLIAMS,RB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,-,-,,-0.2,-0.2
699,TEDDY BRIDGEWATER,QB,FA,-,-,-,-,-0.2,-,-,-,-,-,-,-,-,-,-,-,-,,-0.2,-0.2
701,MATT BARKLEY,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.3,,-0.3,-0.3
702,NATHAN PETERMAN,QB,FA,-,-,-,-,-,-,-0.4,-,-,-,-,-,-,-,-,-,-,,-0.4,-0.4
703,BLAINE GABBERT,QB,FA,-,-,-0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-0.9,-0.9
704,KYLE ALLEN,QB,DET,-,-0.2,-0.2,-0.3,-,0,-,-,BYE,-,-0.2,-,-,-,-0.2,-,-0.2,,-0.2,-1.3
705,JAMES PROCHE,WR,TEN,-,-,-,-,-,-,BYE,-,0,-2,0,0,0,0,0,0,0,,-0.2,-2.0
706,TRENT TAYLOR,WR,SF,0,0,-,0,0,0,0,-0.2,0,0,0,0,-,0,-2,0,0,,-0.1,-2.2
