"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"535","Travis Homer","RB","CHI","1","0.6","-","-","-","-","BYE","-","0","0","0","0","0","4.1","0.7","-","-","","0.7","6.4"
"535","Charlie Jones","WR","CIN","-0.5","0","0","0","0","0","6","0","-","-","-","BYE","-","-","-","-","-","","0.7","5.5"
"535","Jamari Thrash","WR","CLE","-","-","-","-","-","-","0","-","0","BYE","2.1","0","3.1","-","0","0","0","","0.7","5.2"
"535","Malachi Corley","WR","NYJ","0","1.4","-","-","-","-","-","0","-0.2","1.2","2","BYE","0.8","-","-","-","-","","0.7","5.2"
"535","Tanner Conner","TE","MIA","0","0","1.1","3.5","0","BYE","-","-","0","0","-","-","-","-","-","-","-","","0.7","4.6"
"535","Ian Thomas","TE","LV","-","-","-","-","-","0","2.4","0","0","1.3","-","-","-","-","-","-","-","","0.7","3.7"
"535","Mason Kinsey","WR","TEN","-","-","-","-","BYE","-","-","0","-","-","-","-","-","0","2.1","1.6","0","","0.7","3.7"
"535","Tyrion Davis-Price","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.7","","0.7","0.7"
"546","Tip Reiman","TE","ARI","0","0","0","0","1.5","0","1.1","0","0","0","BYE","0","1.9","2.4","2.8","0","0","","0.6","9.7"
"546","Quintin Morris","TE","JAC","0","0","0","0","0","0","0","0","7.2","0","0","BYE","2.4","-","0","0","0","","0.6","9.6"
"546","Johnny Wilson","WR","PHI","0","0","1.9","0","BYE","0","0","0","0","7.5","0","0","-","0","0","0","0","","0.6","9.4"
"546","Chris Manhertz","TE","NYG","0","0","0","0","0","0","0","0","7.2","0","BYE","0","0","0","0","0","2.2","","0.6","9.4"
"546","Trenton Irwin","WR","JAC","1.6","1.5","-","-","-","0","-","1.4","0","0","0","BYE","-","-","-","-","-","","0.6","4.5"
"546","Ainias Smith","WR","PHI","-","-","-","-","BYE","-","-","0","1.2","2.6","0","0","-","-","-","-","0","","0.6","3.8"
"546","Jonathan Ward","RB","FA","-","-","-","-","0.9","1.3","0","0","-","-","-","-","-","-","-","-","-","","0.6","2.2"
"546","George Holani","RB","SEA","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0.9","1","-","0","","0.6","1.9"
"546","Brandon Johnson","WR","PIT","-","-","-","-","1.9","-","0","0","BYE","-","-","-","-","-","-","-","-","","0.6","1.9"
"546","Aaron Shampklin","RB","FA","-","-","-","0.5","1.4","-0.2","-","-","-","-","-","-","-","-","-","-","-","","0.6","1.7"
"546","Tyreik McAllister","RB","FA","0","-","-","1.1","-","-","-","-","-","-","-","-","-","-","-","-","-","","0.6","1.1"
"557","Ben Sims","TE","GB","0","0","0","0","0","5.8","1.2","0","0","BYE","0","0","0","1.2","0","0","0","","0.5","8.2"
"557","Tim Jones","WR","MIN","0","-","0","0","0","0","0","3","2","0","0","-","0","0","0","0","2.1","","0.5","7.1"
"557","Allen Robinson II","WR","FA","-","-","0","-","-","0","-","0","1.2","0","1.7","0","0","0","0","0","3.1","","0.5","6"
"557","Ronnie Bell","WR","DET","0","0","2.2","-","0","-","2","0","-","0","-","0","-","-","-","-","-","","0.5","4.2"
"557","Anthony Gould","WR","IND","0","0","0","-","-","-","-","-","-","-","-","-","0","BYE","3.3","0","0","","0.5","3.3"
"557","Myles Gaskin","RB","FA","-0.3","-","0","0","2.3","-","-","-","-","-","-","-","-","-","-","-","-","","0.5","2"
"557","Zach Davidson","TE","BUF","-","-","-","-","-","-","-","-","-","-","1.5","BYE","0","0","-","-","-","","0.5","1.5"
"557","Jody Fortson Jr.","TE","FA","-","-","-","-","1.5","-","0","0","-","-","-","-","-","-","-","-","-","","0.5","1.5"
"557","Trey Lance","QB","LAC","-","-","-","-","BYE","-","-","-","-","1.5","-","-0.3","-","-","-","-","0.1","","0.5","1.4"
"557","Velus Jones Jr.","WR","NO","0.9","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","","0.5","0.9"
"567","Ihmir Smith-Marsette","WR","NYG","-","-","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","6","","0.4","6"
"567","Xavier Smith","WR","LAR","-","-","0","0","2.6","BYE","3","0","0","0","0","0","0","0","0","0","0","","0.4","5.6"
"567","Will Shipley","RB","PHI","0","0","0","0","BYE","0","1.5","-0.3","0","3.4","0","-","0.4","0","-","-","-","","0.4","5"
"567","Jacob Cowing","WR","SF","0","0","0","0","-","0","7","0","BYE","-2","0","-","0","0","0","0","0","","0.4","5"
"567","Josiah Deguara","TE","ARI","-","-","1.8","0","1.2","0","0","0","0","-","0","-","-","0","0","1.4","0","","0.4","4.4"
"567","James Proche II","WR","TEN","-","0","0","1.3","0","-","-","-","-","-","-","-","-","3.8","-2","0","0","","0.4","3.1"
"567","Isaiah Williams","WR","CIN","-","-","-","-","-","-","-","2.6","0","-","-","BYE","0","0","0","0","0","","0.4","2.6"
"567","David Martin-Robinson","TE","TEN","-","-","-","-","BYE","-","-","-","-","-","-","-","-","0","0","1.6","0","","0.4","1.6"
"567","Brycen Tremayne","WR","CAR","-","-","-","-","0.8","-","-","-","-","-","BYE","-","-","-","-","-","0","","0.4","0.8"
"567","Carson Wentz","QB","FA","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0.8","-","-","","0.4","0.8"
"567","Ke'Shawn Vaughn","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0.4","-","-","-","","0.4","0.4"
"578","Chris Conley","WR","FA","0","1.4","0","0","-","0","0","0","-","-","0","0","0","0","0","0","2.3","","0.3","3.7"
"578","Shane Zylstra","TE","DET","-","-","-","-","BYE","-","0","0","0","0","3.2","0","0","0","0","0","0","","0.3","3.2"
"578","Jack Stoll","TE","NO","-","-","0","1.4","-","0","0","1.6","0","0","-","BYE","-","-","-","0","0","","0.3","3"
"578","Eric Tomlinson","TE","FA","0","0","0","0","-","0","1.7","0","1.2","-","-","-","-","-","0","-","-","","0.3","2.9"
"578","Nick Mullens","QB","JAC","-","-","0","-","1","-","-","-","-","-","-","0.6","-","-0.2","-","-","-","","0.3","1.3"
"583","Raheem Blackshear","RB","CAR","0","0","0","0","0","0","0","0","0","0","BYE","0","0","0","-","1.3","2","","0.2","3.3"
"583","Dallin Holker","TE","FA","-","-","-","-","0","0","0","-","0","0","0","-","0","2","0","0","0","","0.2","2"
"583","Ramel Keyton","WR","TEN","-","-","-","-","BYE","-","-","-","1.7","-","0","0","-","0","0","0","0","","0.2","1.7"
"583","Geoff Swaim","TE","FA","-","-","0","0","0","0","0","1.7","0","-","0","-","-","-","-","-","-","","0.2","1.7"
"583","Jared Wiley","TE","KC","0","1.7","0","0","0","BYE","0","0","-","-","-","-","-","-","-","-","-","","0.2","1.7"
"583","John Samuel Shenker","TE","FA","-","-","-","0","0","0","0","1.7","-","-","-","-","-","-","-","0","0","","0.2","1.7"
"583","Jaelon Darden","WR","FA","0","-","-","-","-","1.6","0","0","0","-","-","-","0","0","0","0","0","","0.2","1.6"
"583","Collin Johnson","WR","LV","-","0","0","-","-","-","-","-","-","BYE","-","0","0","1.6","0","0","0","","0.2","1.6"
"583","Tyler Scott","WR","CHI","-","0","0","0","0","0","BYE","-","0","-","0","-","-","-","1.5","0","0","","0.2","1.5"
"583","John FitzPatrick","TE","GB","-","-","-","-","-","-","-","0","0","BYE","0","1.2","-","0","0","0","0","","0.2","1.2"
"583","Kameron Johnson","WR","TB","0","-","-","0","0","0","-","-","-","-","BYE","-","-","-","-","-","1.1","","0.2","1.1"
"583","Josh Johnson","QB","WAS","-","-","-","0","-","-","0","-","0.2","-","-","-","-","BYE","-0.1","-","0.6","","0.2","0.8"
"583","Darrynton Evans","RB","BUF","-","-","-","-","0","-","-","-","-","-","-","BYE","-","0.3","-","-","-","","0.2","0.3"
"596","Ross Dwelley","TE","SF","0","0","0","0","-","0","0","0","0","-","1.5","-","0","0","0","0","-","","0.1","1.5"
"596","Marcedes Lewis","TE","FA","0","0","0","0","0","1.2","-","0","0","0","0","0","0","0","0","0","0","","0.1","1.2"
"596","Jaheim Bell","TE","NE","-","0","-","-","-","0","0","0","1.1","0","0","0","0","BYE","0","0","0","","0.1","1.1"
"596","Chris Collier","RB","LV","-","-","-","-","0","-","0","0","0","BYE","-","-","-","-","-","-","0.6","","0.1","0.6"
