"82","Jason Sanders","K","MIA","14","6","10","2","8","6","6","7","2","BYE","11","12","10","9","12","22","7","","9","144"
"83","Miami Dolphins","DST","MIA","2","9","8","-2","11","5","12","6","5","BYE","12","21","12","12","24","7","-1","","8.9","143"
"84","Jayden Reed","WR","GB","4.6","15.7","6.3","7.5","0.7","BYE","8.1","8.3","4","14.4","15.2","11","1.6","12.5","11.2","-","20.9","","9.5","142"
"85","Zack Moss","RB","FA","-","16.7","20.5","9","31.5","11.9","6.2","13.4","2.6","0.2","-","7","5.7","5.6","9.3","-","-","","10.7","139.6"
"86","Jordan Addison","WR","MIN","12.1","13.2","5.2","0","12.4","8.8","24.3","14.4","5.2","6.9","4.4","3.9","BYE","2.7","23.1","0.2","2.8","","8.7","139.6"
"87","New York Jets","DST","NYJ","20","0","4","7","18","11","BYE","8","5","8","2","13","9","12","2","8","12","","8.7","139"
"88","Michael Pittman Jr.","WR","IND","15.7","5.6","7.7","3.5","5.2","10.9","14.3","10","6.4","8.4","BYE","10.7","16.5","11.5","7.8","-","4.6","","9.3","138.8"
"89","George Kittle","TE","SF","1.9","3","9","0.9","24.7","0.1","8","14.9","BYE","17.6","14.9","1.9","6.8","13.6","5.4","12.6","2.9","","8.6","138.2"
"90","Blake Grupe","K","NO","12","8","5","10","14","9","11","8","8","4","BYE","19","4","4","8","2","12","","8.6","138"
"90","Las Vegas Raiders","DST","LV","3","-2","1","4","12","9","4","13","19","8","8","0","BYE","12","25","21","1","","8.6","138"
"90","DeAndre Hopkins","WR","BAL","6.5","4","4.8","6.3","14","2","-","30.8","6.5","2.7","11.9","4.9","13.9","18.4","2.1","2","7.2","","8.6","138"
"93","Calvin Ridley","WR","TEN","16.1","3.2","4","9.8","13.6","2.6","0.5","8.3","-","2","24.1","16.9","3.3","5.3","3.9","19.8","3.9","","8.6","137.3"
"94","Brandon McManus","K","GB","8","10","5","14","6","17","8","16","-","3","10","14","8","3","1","0","14","","8.6","137"
"94","San Francisco 49ers","DST","SF","13","5","8","2","16","7","2","4","BYE","20","9","14","4","9","12","3","9","","8.6","137"
"96","Cameron Dicker","K","LAC","12","10","4","6","BYE","5","7","16","11","9","8","4","6","1","3","21","13","","8.5","136"
"97","New Orleans Saints","DST","NO","10","7","10","3","24","5","4","4","13","1","BYE","5","0","21","14","0","14","","8.4","135"
"97","Indianapolis Colts","DST","IND","11","9","9","3","4","1","5","-1","26","16","BYE","11","17","7","14","0","3","","8.4","135"
"99","Chuba Hubbard","RB","CAR","6.9","5","0.4","5.3","3.5","15","BYE","5.4","6.7","3.9","6.5","15.2","22.4","9.6","10.3","11.1","7.1","","8.4","134.3"
"100","Kyler Murray","QB","ARI","-","-","-","-","-","-","-","-","-","18.3","22.7","20.4","11.8","BYE","15.3","20.4","24.7","","19.1","133.6"
"101","Rashee Rice","WR","KC","8.6","2","5.9","3.2","9.3","7.2","12","5.6","7.7","BYE","4.2","16.7","6.4","11.2","15.1","5.7","12.7","","8.3","133.5"
"102","Younghoe Koo","K","ATL","7","13","7","1","7","5","13","12","19","5","BYE","6","8","5","1","19","5","","8.3","133"
"102","Greg Zuerlein","K","FA","11","-","6","4","18","14","-","7","8","16","0","1","7","17","0","14","10","","8.9","133"
"104","Chris Olave","WR","NO","11.2","8.6","10.4","0.4","7.2","9.6","5.7","4.6","10.6","15.4","BYE","11.4","11.9","8.8","-","14.3","2.6","","8.8","132.7"
"105","Jaylen Warren","RB","PIT","1.8","8.6","5.2","5.5","7.9","BYE","9.1","3.8","11.3","17","20.5","4.2","5.5","4","6.8","5.4","15.8","","8.3","132.4"
"106","Evan McPherson","K","CIN","4","6","19","3","12","7","BYE","9","6","11","10","5","13","10","9","3","5","","8.3","132"
"107","Jake Browning","QB","CIN","-0.1","-","-","-","-","-","BYE","-","-","-","10.7","13","25.7","24.7","20","16.4","21.1","","16.4","131.4"
"108","Courtland Sutton","WR","DEN","9.2","6.6","11.1","8.7","1.3","10.6","13.6","8.9","BYE","9.3","12.6","6.1","13.7","12.2","7.1","0","-","","8.7","131"
"108","Pittsburgh Steelers","DST","PIT","4","26","11","-1","18","BYE","5","10","7","8","7","10","2","4","4","13","3","","8.2","131"
"110","Tyler Bass","K","BUF","13","8","15","14","2","2","5","6","4","2","17","12","BYE","8","7","6","9","","8.1","130"
"111","Austin Ekeler","RB","WAS","22.4","-","-","-","-","6.2","4.6","16.3","19","17.5","5","4.4","2.7","16","3.8","8.6","3","","10","129.5"
